Year,Rank,Airline
2018,49,Philippine Airlines
2018,50,Vietnam Airlines
2018,51,Avianca
2018,52,Saudia
2018,53,Azul Airlines
2018,54,WestJet
2018,55,IndiGo
2018,56,SilkAir
2018,57,Southwest Airlines
2018,58,Azerbaijan Airlines
2018,59,Eurowings
2018,60,SAS Scandinavian
2018,61,Scoot
2018,62,Porter Airlines
2018,63,LATAM
2018,64,Ryanair
2018,65,Fiji Airways
2018,66,Copa Airlines
2018,67,LOT Polish
2018,68,Air Transat
2018,69,Air Mauritius
2018,70,Jetstar Asia
2018,71,American Airlines
2018,72,TAP Portugal
2018,73,TUI Airways
2018,74,Brussels Airlines
2018,75,Alitalia
2018,76,China Eastern Airlines
2018,77,Hawaiian Airlines
2018,78,Royal Brunei Airlines
2018,79,American Eagle
2018,80,Jet Airways
2018,81,Juneyao Air
2018,82,Air Seychelles
2018,83,Air Dolomiti
2018,84,Air Malta
2018,85,Kenya Airways
2018,86,Vistara
2018,87,Icelandair
2018,88,United Airlines
2018,89,Gulf Air
2018,90,Royal Jordanian Airlines
2018,91,Peach
2018,92,Jet2.com
2018,93,Air China
2018,94,Vueling Airlines
2018,95,SriLankan Airlines
2018,96,Air Nostrum
2018,97,Aeromexico
2018,98,S7 Airlines
2018,99,PAL Express
2018,100,AtlasGlobal
2019,1,Qatar Airways
2019,2,Singapore Airlines
2019,3,ANA All Nippon Airways
2019,4,Cathay Pacific Airways
2019,5,Emirates
2019,6,EVA Air
2019,7,Hainan Airlines
2019,8,Qantas Airways
2019,9,Lufthansa
2019,10,Thai Airways
2019,11,Japan Airlines
2019,12,Garuda Indonesia
2019,13,Swiss International Air Lines
2019,14,China Southern Airlines
2019,15,Austrian Airlines
2019,16,Air New Zealand
2019,17,Bangkok Airways
2019,18,KLM Royal Dutch Airlines
2019,19,British Airways
2019,20,AirAsia
2019,21,Virgin Atlantic
2019,22,Aeroflot
2019,23,Air France
2019,24,Hong Kong Airlines
2019,25,Virgin Australia
2019,26,Iberia
2019,27,Turkish Airlines
2019,28,Asiana Airlines
2019,29,Etihad Airways
2019,30,Philippine Airlines
2019,31,Air Canada
2019,32,Finnair
2019,33,Cathay Dragon
2019,34,China Airlines
2019,35,Korean Air
2019,36,Malaysia Airlines
2019,37,EasyJet
2019,38,Aer Lingus
2019,39,Norwegian
2019,40,jetBlue Airways
2019,41,Delta Air Lines
2019,42,Aegean Airlines
2019,43,Oman Air
2019,44,Ethiopian Airlines
2019,45,Fiji Airways
2019,46,South African Airways
2019,47,Southwest Airlines
2019,48,AirAsia X
2019,49,LATAM
2019,50,Azul Airlines
2019,51,Air Astana
2019,52,Azerbaijan Airlines
2019,53,Jetstar Airways
2019,54,Alaska Airlines
2019,55,WestJet
2019,56,Vietnam Airlines
2019,57,Saudia
2019,58,IndiGo
2019,59,Ryanair
2019,60,Air Transat
2019,61,Air Mauritius
2019,62,SilkAir
2019,63,Eurowings
2019,64,Scoot
2019,65,SAS Scandinavian
2019,66,Royal Brunei Airlines
2019,67,LOT Polish
2019,68,United Airlines
2019,69,Vistara
2019,70,Avianca
2019,71,Gulf Air
2019,72,Alitalia
2019,73,AtlasGlobal
2019,74,American Airlines
2019,75,China Eastern Airlines
2019,76,TAP Portugal
2019,77,TUI Airways
2019,78,Copa Airlines
2019,79,Brussels Airlines
2019,80,Juneyao Air
2019,81,Jetstar Asia
2019,82,Porter Airlines
2019,83,Hawaiian Airlines
2019,84,American Eagle
2019,85,PAL Express
2019,86,Peach
2019,87,Air Malta
2019,88,Air Seychelles
2019,89,Air Dolomiti
2019,90,Kenya Airways
2019,91,Vueling Airlines
2019,92,Air Canada rouge
2019,93,Royal Air Maroc
2019,94,LEVEL
2019,95,Jet2.com
2019,96,S7 Airlines
2019,97,Royal Jordanian Airlines
2019,98,Flynas
2019,99,Air China
2019,100,Icelandair
2021,1,Qatar Airways
2021,2,Singapore Airlines
2021,3,ANA All Nippon Airways
2021,4,Emirates
2021,5,Japan Airlines
2021,6,Cathay Pacific Airways
2021,7,EVA Air
2021,8,Qantas Airways
2021,9,Hainan Airlines
2021,10,Air France
2021,11,British Airways
2021,12,China Southern Airlines
2021,13,Lufthansa
2021,14,Aeroflot
2021,15,Garuda Indonesia
2021,16,KLM Royal Dutch Airlines
2021,17,Turkish Airlines
2021,18,Swiss International Air Lines
2021,19,Bangkok Airways
2021,20,Air New Zealand
2021,21,Etihad Airways
2021,22,Korean Air
2021,23,Thai Airways
2021,24,Virgin Atlantic
2021,25,Asiana Airlines
2021,26,Saudia
2021,27,Austrian Airlines
2021,28,Vistara
2021,29,AirAsia
2021,30,Delta Air Lines
2021,31,Finnair
2021,32,JetBlue Airways
2021,33,Air Canada
2021,34,Virgin Australia
2021,35,Iberia
2021,36,Aegean Airlines
2021,37,Ethiopian Airlines
2021,38,China Airlines
2021,39,Southwest Airlines
2021,40,Scoot
2021,41,Vietnam Airlines
2021,42,Oman Air
2021,43,Air Astana
2021,44,Gulf Air
2021,45,LATAM
2021,46,Aer Lingus
2021,47,Azul Airlines
2021,48,Vueling Airlines
2021,49,IndiGo
2021,50,EasyJet
2021,51,Malaysia Airlines
2021,52,Philippine Airlines
2021,53,WestJet
2021,54,Fiji Airways
2021,55,Azerbaijan Airlines
2021,56,Jetstar Airways
2021,57,Ryanair
2021,58,Royal Brunei Airlines
2021,59,Air Transat
2021,60,United Airlines
2021,61,Alaska Airlines
2021,62,SAS Scandinavian
2021,63,Hong Kong Airlines
2021,64,Juneyao Air
2021,65,Jetstar Asia
2021,66,Flynas
2021,67,South African Airways
2021,68,LOT Polish
2021,69,Brussels Airlines
2021,70,Peach
2021,71,S7 Airlines
2021,72,Eurowings
2021,73,TUI Airways
2021,74,Hawaiian Airlines
2021,75,Norwegian
2021,76,American Airlines
2021,77,TAP Portugal
2021,78,China Eastern Airlines
2021,79,Kenya Airways
2021,80,Air Malta
2021,81,Royal Air Maroc
2021,82,Air Mauritius
2021,83,Air Canada rouge
2021,84,Xiamen Airlines
2021,85,Copa Airlines
2021,86,Bamboo Airways
2021,87,Jet2.com
2021,88,SpiceJet
2021,89,JetSmart
2021,90,Spring Airlines
2021,91,American Eagle
2021,92,StarFlyer
2021,93,Air China
2021,94,Porter Airlines
2021,95,Air Arabia
2021,96,Wizz Air
2021,97,Royal Jordanian Airlines
2021,98,Avianca
2021,99,STARLUX Airlines
2021,100,Citilink
2022,1,Qatar Airways
2022,2,Singapore Airlines
2022,3,Emirates
2022,4,ANA All Nippon Airways
2022,5,Qantas Airways
2022,6,Japan Airlines
2022,7,Turkish Airlines
2022,8,Air France
2022,9,Korean Air
2022,10,Swiss International Air Lines
2022,11,British Airways
2022,12,Etihad Airways
2022,13,China Southern Airlines
2022,14,Hainan Airlines
2022,15,Lufthansa
2022,16,Cathay Pacific Airways
2022,17,KLM Royal Dutch Airlines
2022,18,EVA Air
2022,19,Virgin Atlantic
2022,20,Vistara
2022,21,Finnair
2022,22,Gulf Air
2022,23,Bangkok Airways
2022,24,Delta Air Lines
2022,25,Iberia
2022,26,Ethiopian Airlines
2022,27,AirAsia
2022,28,Aegean Airlines
2022,29,Scoot
2022,30,Air New Zealand
2022,31,Garuda Indonesia
2022,32,Austrian Airlines
2022,33,Asiana Airlines
2022,34,Saudia
2022,35,Southwest Airlines
2022,36,Fiji Airways
2022,37,Oman Air
2022,38,Air Astana
2022,39,WestJet
2022,40,Ryanair
2022,41,JetBlue Airways
2022,42,China Airlines
2022,43,Virgin Australia
2022,44,Malaysia Airlines
2022,45,IndiGo
2022,46,Thai Airways
2022,47,LATAM
2022,48,Vietnam Airlines
2022,49,Azul Airlines
2022,50,Air Canada
2022,51,Vueling Airlines
2022,52,Azerbaijan Airlines
2022,53,Royal Brunei Airlines
2022,54,Aer Lingus
2022,55,EasyJet
2022,56,Jet2.com
2022,57,Jetstar Airways
2022,58,Flynas
2022,59,Alaska Airlines
2022,60,United Airlines
2022,61,SunExpress
2022,62,Peach
2022,63,Eurowings
2022,64,SAS Scandinavian
2022,65,Hawaiian Airlines
2022,66,Royal Air Maroc
2022,67,TAP Portugal
2022,68,American Airlines
2022,69,Hong Kong Airlines
2022,70,airBaltic
2022,71,Jetstar Asia
2022,72,Rex Airlines
2022,73,LOT Polish
2022,74,Air Transat
2022,75,Brussels Airlines
2022,76,Kuwait Airways
2022,77,Philippine Airlines
2022,78,Air Arabia
2022,79,South African Airways
2022,80,flyDubai
2022,81,Kenya Airways
2022,82,Air Canada rouge
2022,83,Air Malta
2022,84,Norwegian
2022,85,Sky Airline
2022,86,TUI Airways
2022,87,Copa Airlines
2022,88,Air Mauritius
2022,89,JetSmart
2022,90,American Eagle
2022,91,Citilink
2022,92,Air Serbia
2022,93,Wizz Air
2022,94,Avianca
2022,95,Egyptair
2022,96,China Eastern Airlines
2022,97,Air Dolomiti
2022,98,ITA Airways
2022,99,LEVEL
2022,100,Buta Airways
2023,1,Singapore Airlines
2023,2,Qatar Airways
2023,3,ANA All Nippon Airways
2023,4,Emirates
2023,5,Japan Airlines
2023,6,Turkish Airlines
2023,7,Air France
2023,8,Cathay Pacific Airways
2023,9,EVA Air
2023,10,Korean Air
2023,11,Hainan Airlines
2023,12,Swiss International Air Lines
2023,13,Etihad Airways
2023,14,Iberia
2023,15,Fiji Airways
2023,16,Vistara
2023,17,Qantas Airways
2023,18,British Airways
2023,19,Air New Zealand
2023,20,Delta Air Lines
2023,21,Lufthansa
2023,22,Virgin Atlantic
2023,23,Saudia
2023,24,Finnair
2023,25,KLM Royal Dutch Airlines
2023,26,China Southern Airlines
2023,27,Oman Air
2023,28,Asiana Airlines
2023,29,Bangkok Airways
2023,30,Garuda Indonesia
2023,31,AirAsia
2023,32,Gulf Air
2023,33,Scoot
2023,34,Austrian Airlines
2023,35,Ethiopian Airlines
2023,36,Aegean Airlines
2023,37,Air Astana
2023,38,Air Canada
2023,39,STARLUX Airlines
2023,40,Thai Airways
2023,41,China Airlines
2023,42,Kuwait Airways
2023,43,IndiGo
2023,44,Vietnam Airlines
2023,45,LATAM
2023,46,Virgin Australia
2023,47,Malaysia Airlines
2023,48,Azul Brazilian
2023,49,United Airlines
2023,50,Azerbaijan Airlines
2023,51,Flynas
2023,52,Alaska Airlines
2023,53,Royal Air Maroc
2023,54,Volotea
2023,55,jetBlue Airways
2023,56,Rex Airlines
2023,57,Aer Lingus
2023,58,Transavia France
2023,59,Sun Country Airlines
2023,60,Southwest Airlines
2023,61,airBaltic
2023,62,Air Transat
2023,63,Jet2.com
2023,64,WestJet
2023,65,EasyJet
2023,66,Royal Brunei Airlines
2023,67,Vueling Airlines
2023,68,Ryanair
2023,69,Jetstar Airways
2023,70,flyDubai
2023,71,SunExpress
2023,72,South African Airways
2023,73,Kenya Airways
2023,74,Peach
2023,75,Hong Kong Airlines
2023,76,JetSMART Airlines
2023,77,Jetstar Asia
2023,78,Air Mauritius
2023,79,Eurowings
2023,80,Philippine Airlines
2023,81,SKY Airline
2023,82,American Airlines
2023,83,Copa Airlines
2023,84,SAS Scandinavian
2023,85,Hawaiian Airlines
2023,86,LOT Polish
2023,87,Wizz Air
2023,88,Air Arabia
